date,total_count,avg_cb_price,pr75_price,pr90_price,avg_conversion_value,avg_premium_rate,count_conversion_value_ge_100,count_conversion_value_ge_120,count_premium_rate_gt_0,count_premium_rate_ge_50,count_premium_rate_ge_100,price_bin_lt95,price_bin_95_100,price_bin_100_105,price_bin_105_110,price_bin_110_120,price_bin_ge120
2026-07-19,376,134.64,133.0,202.0,106.81,39.3,128,92,357,106,31,21,54,85,28,46,142
2026-07-26,382,132.82,133.0,194.0,105.35,39.22,127,93,359,106,34,19,64,77,26,57,139
